nct_id,Study Title,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,startDate,status,study_type,phases
NCT01269216,A Study of Neoadjuvant Chemoradiotherapy With 5-FU/Leucovorin (FL) vs. TS-1/Irinotecan in Patients With Locally Advanced Rectal Cancer,"pathologic complete response rate, To evaluate pathologic complete response rate in patients with resectable rectal cancer teated with neoadjuvant chemoradiotherapy with 5-FU/leucovorin (FL) vs. TS-1/Irinotecan and surgery followed by fluoropyrimidine based adjuvant chemotherapy, every 4 weeks in FL group, every 2 weeks in TS-1/irinotecan group",,,2008-10,COMPLETED,INTERVENTIONAL,['PHASE2']
NCT00002968,Edrecolomab in Treating Patients With Stage II Colon Cancer,"Survival, Estimated using the Kaplan-Meier method. Compared using the logrank test., From time of randomization to death from any cause, assessed up to 5 years","Disease-free intervals, Estimated using the Kaplan-Meier method. Compared using the logrank test., From time of randomization to colon cancer recurrence where deaths without recurrence will be censored at the time of death, assessed up to 5 years|Disease-free survival, Estimated using the Kaplan-Meier method. Compared using the logrank test., From time of randomization to colon cancer recurrence or death from any cause, assessed up to 5 years",,1997-05,COMPLETED,INTERVENTIONAL,['PHASE3']
NCT04819516,Study of the Safety and Effectiveness of HIFU Combined With REGOTORI for Metastatic Colorectal Cancer,"Adverse events, 3 months from baseline|Adverse events, 6 months from baseline|Adverse events, 9 months from baseline|Adverse events, 12 months from baseline|Number of Participants With Abnormal Laboratory Values, 3 months from baseline|Number of Participants With Abnormal Laboratory Values, 6 months from baseline|Number of Participants With Abnormal Laboratory Values, 9 months from baseline|Number of Participants With Abnormal Laboratory Values, 12 months from baseline","Number of Participants With Abnormal Tumor markers, 12 months from baseline|Number of Participants With Abnormal Tumor markers, 3 months from baseline|Number of Participants With Abnormal Tumor markers, 6 months from baseline|Number of Participants With Abnormal Tumor markers, 9 months from baseline|Disease Control Rate, From Baseline to primary completion date, about 60 months|Progression Free Survival, From Baseline to primary completion date, about 60 months|QoL, Quality of life is assessed using the European Organization for Research and Treatment of Cancer (EORTC) Quality of Life Questionnaire (QLQ) C30. It will be evaluated at Screening, Tumor Assessment Visit and End of Treatment visit., 12 months from baseline|Numeric rating scale, Numerical Rating Scale (pain measurement) minimum: 0, means no pain maximum: 10, means unbearable physical pain, 12 months from baseline",,2020-12-07,RECRUITING,INTERVENTIONAL,['PHASE1']
NCT01104116,Use of PET Imaging to Distinguish Malignant From Benign IPMN,"Positive and Negative Predictive Value of PET Imaging for Identifying Malignant IPMN, The primary outcome will be to determine the positive and negative predictive values of \[18F\]-FDG PET imaging for identifying malignant IPMN lesions in patients who are to undergo surgical resection. We will determine the mean SUV that would provide optimal positive predictive value for malignant IPMN. IPMN lesions will be classified categorically as benign (adenoma or borderline ) or malignant (in situ or invasive carcinoma) and PET imaging will be classified categorically as negative or positive, with focal FDG uptake corresponding to pancreatic lesion., 1 month","Change in Lesion Characteristics to Assess Benefit of PET Scans, The secondary outcome that we are interested in studying is the benefit of PET scan as compared to other imaging modalities, such as CT, MRI, and EUS. Thus, Patients will also have CT, MRI, and EUS imaging. We will look at how size, location, and branch of the IPMN lesion on PET compare to these other imaging modalities. The location, size, and pathology results of the actual surgical specimen will serve as the gold standard., 1 month",,2009-09,TERMINATED,INTERVENTIONAL,['NA']
NCT00844168,Sorafenib Tosylate in Treating Patients With Liver Cancer Who Have Undergone a Liver Transplant,"Dose-limiting toxicity (DLT) as defined by the Common Terminology for Adverse Events (CTAE) version 3, Defined as grade \>= 3 nonhematologic/hematologic toxicity, 28 days",,,2009-01,COMPLETED,INTERVENTIONAL,['PHASE1']
NCT03475615,A Study of Intraperitoneal Paclitaxel in Combination With SOX Compared With SOX Alone in Gastric Cancer With Malignant Ascites,"overall survival, the internal between the date of enrollment and the date of death or last follow-up., 10 months",,,2018-03-16,UNKNOWN,INTERVENTIONAL,['PHASE3']
NCT00748215,Calcium Aluminosilicate Anti-Diarrheal in Treating and Preventing Diarrhea in Patients With Metastatic Colorectal Cancer Receiving Irinotecan,"Number of Participants With Grade 3/4 Diarrhea, One hundred patients were randomized equally between CASAD and placebo arms in order to assess whether CASAD was efficacious in preventing grade 3/4 diarrhea within 6 weeks for each arm compared. Bayesian futility monitoring in the study with a recommendation to stop the trial for futility if it became clear that CASAD was not better than placebo., First 6 weeks from baseline in initial intervention with CASAD or PLACEBO",,,2009-02-04,COMPLETED,INTERVENTIONAL,['PHASE2']
NCT05745415,Cancer Stem Cell Specific Aptamer's Ability to Detect Blood Circulating Cancer Stem Cells and Its Role as a Predictor of Prognosis in Pancreatic Cancer,"Progression free survival, Progression free survival : The length of time during and after the treatment of a disease, such as cancer, that a patient lives with the disease but it does not get worse, the duration from treatment initiation to disease progression (Up to 100 weeks)","Overall survival, Overall survival : The length of time from either the date of diagnosis or the start of treatment for a disease, such as cancer, that patients diagnosed with the disease are still alive., he duration from diagnosis of pancreatic cancer to death or last follow-up (up to 100 weeks)",,2018-03-29,COMPLETED,OBSERVATIONAL,['NA']
NCT03346915,Integrating a Health Information Technology System for Primary and Secondary Cervical Cancer Prevention,"HPV vaccine series start and completion, The primary outcome of interest is receipt of the first dose and completion of the three-dose or two-dose series of HPV vaccine by participants within six months of intervention by EMR review., 6 months","HPV and Cervical Cancer awareness and knowledge, Change in knowledge of HPV vaccination and cervical cancer will be measured using a survey, which is under development, that includes questions about HPV and HPV vaccination. It will be administered before and again after the intervention and changes in responses will be compared., 6-12 months|Provider-patient communication about HPV vaccine and cervical cancer, Based on participants' entries onto the WoW website, a list of their concerns and questions about HPV vaccine and cervical cancer will be created and this list will be brought to a clinical visit with their providers. Following the clinical visit, participants will be asked whether providers addressed their questions and concerns about HPV vaccine and cervical cancer using a short questionnaire with a 5 point likert scale where 1=completely addressed and 5= not at all addressed. Lower scores are favorable., one week after provider visit throughout the duration of the study|Wheel of Wellness (WoW) feasibility, The feasibility of WoW will be assessed by using a short questionnaire that measures both how easy the WoW site is to navigate and how frequently participants used the WoW site., 6 months|Wheel of Wellness (WoW) feasibility, The feasibility of WoW will be assessed by using a short questionnaire that measures both how easy the WoW site is to navigate and how frequently participants used the WoW site., 12 months",,2018-08-14,COMPLETED,INTERVENTIONAL,['NA']
NCT00320515,Study of Pemetrexed Plus Cisplatin in Advanced Gastric Cancer,"Objective Best Tumor Response, Response using Response Evaluation Criteria In Solid Tumors (RECIST) criteria. Complete Response=disappearance of all target lesions; Partial Response=30% decrease in sum of longest diameter of target lesions; Progressive Disease=20% increase in sum of longest diameter of target lesions; Stable Disease=small changes that do not meet above criteria., baseline to measured progressive disease (Tumor assessments were performed every 2 cycles during therapy and 6-8 weeks during post-therapy until disease progression, or up to 12 months after enrollment)","Duration of Response, The duration of a complete response (CR) or partial response (PR) was defined as the time from first objective status assessment of CR or PR to the first time of progression or death as a result of any cause., time of response to progressive disease or death (Tumor assessments were performed every 2 cycles during therapy and 6-8 weeks during post-therapy until disease progression, or up to 12 months after enrollment)|Progression Free Survival, The period from study entry until disease progression or death on study, whichever occurred first., baseline to measured progressive disease or death (Tumor assessments were performed every 2 cycles during therapy and 6-8 weeks during post-therapy until disease progression, or up to 12 months after enrollment)|Overall Survival, Overall survival is the duration from enrollment to death. For patients who are alive, overall survival is censored at the last contact., baseline to date of death from any cause (Survival follow-up were performed every 2 cycles during therapy and approximately every 3 months during post-therapy until death or up to 12 months after enrollment)",,2004-03,COMPLETED,INTERVENTIONAL,"['PHASE1', 'PHASE2']"
NCT00182715,Combination Chemotherapy With or Without Cetuximab as First-Line Therapy in Treating Patients With Metastatic Colorectal Cancer,Overall survival at 2 years,Progression-free survival at 2 years|Failure-free survival at 2 years|Response by RECIST criteria at 12 and 24 weeks|Toxicity by NCI Common Toxicity Criteria version 3 throughout treatment and at follow-up|Time of disease control at 2 years,,2005-03,UNKNOWN,INTERVENTIONAL,['PHASE3']
