Study Title,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures
A Retrospective Study of Cardiovascular Events Related to the Use of Glucose Lowering Drug Treatment in Primary Care,"Composite end-point consisting of Cardiovascular Disease, elective coronary revascularisation and mortality, The endpoints will be extracted from the medical records on one occassion, covering a period of one decade.","Retinopathy, renal failure, hypoglycaemic episodes, other diabetic complications, The endpoints will be extracted from the medical records on one occasion, covering a period of one decade.|Time from: Metformin (MET) to Insulin (INS) versus Metformin (MET) -> Metformin (MET)+Sulfonylurea (SU) ->Insulin (INS), The endpoints will be extracted from the medical records on one occasion, covering a period of one decade.|Number of consultations in primary care. Number of hospitalisations, The endpoints will be extracted from the medical records on one occasion, covering a period of one decade.",
Prospective Randomized Trials of Gastric Bypass Surgery in Patients With Type II Diabetes Mellitus,"Measure sugar levels, HbA1c levels, and medication needed. OGTT, MGTT., 1st, 2nd, 3rd, 4th, 5th, 6th, 9th, 12th months","Comparing the DM controls between Medical and Surgical treatment In surgery groups, compare the bypass surgery and sleeve gastrectomy, 1 yr",
Clinical Trial of Efficacy and Safety of Subetta in the Combined Treatment of Patients With Type II Diabetes Mellitus,"Changes in the Mean Value of HbA1c, The HbA1C test was performed using a method that is certified by the National Glycohemoglobin Standardization Program (NGSP) (www.ngsp.org) and standardized or traceable to the Diabetes Control and Complications Trial (DCCT) reference assay., In 12, 24 and 36 weeks of the treatment as compared to the baseline","Change in Fasting Plasma Glucose, Based on the data of biochemical analysis, In 4, 12, 24 and 36 weeks of the treatment as compared to the baseline|Change in Average Daily Blood Glucose From a 7-point Patient Self-monitoring of Blood Glucose (SMBG), A 7-point patient self-monitoring of blood glucose (SMBG): three measurements of blood glucose before the meal; three measurements of postprandial blood glucose (1-2 h after the start of the meal) and one measurement at 3:00 a.m., During the whole study period (on weeks 4, 8, 12, 18, 24, 30 and 36 of the treatment) as compared to the baseline|Mean Value of C-peptide, Blood samples (for measurement of fasting plasma glucose, concentrations of plasma C-peptide, total cholesterol, HDL cholesterol, LDL cholesterol and triglycerides) are taken under standard conditions: after night break in food taking (at least 8 hours) and prior to administering of insulin morning dose (if patient receives intermediate insulin twice-daily), prior to any morning medicines intake (including the study drug, metformin, sulfonylurea derivatives, permitted concomitant therapy)., In 12, 24 and 36 weeks of the treatment as compared to the baseline|Changes in Lipids (Concentrations of Plasma Total Cholesterol, HDL Cholesterol, LDL Cholesterol and Triglycerides), Blood samples (for measurement of fasting plasma glucose, concentrations of plasma total cholesterol, HDL cholesterol, LDL cholesterol and triglycerides) are taken under standard conditions: after night break in food taking (at least 12 hours) and prior to administering of insulin morning dose (prandial), prior to any morning medicines intake (including the study drug and permitted concomitant therapy)., In 12, 24 and 36 weeks of the treatment as compared to the baseline|Changes in Dosage of Insulin (Basal Dose Insulin Measured in IU/Day), Changes in basal insulin dose is based on the mean value of 3 consecutive measuring of level of fasting blood glucose.

1. If value of fasting blood glucose at 7:00 AM on January 21, 2012 - 4.2 mmol/L, at 7:30 AM on January 22, 2012- 5.0 mmol/L, at 7:00 AM on January 23, 2012 4.8 mmol/L, then the mean level of blood glucose =4.7 mmol/L (4.2 +5.0 +4.8 divided by 3). It is not recommended to change the dose.
2. If the mean value of fasting blood glucose is lower than 4.0 mmol/L and a patient shows unreasonable signs or symptoms of hypoglycemia, then dose of basal insulin should be reduced by 2 units.
3. If value of fasting blood glucose for 3 consecutive days was ≥7 mmol/L, then dose of basal insulin should be increased by 2 units and more (depending on individual values).

Based on the same values investigator can change dose of per oral blood sugar-lowering drugs., In 36 weeks of the treatment as compared to the baseline|Changes in Dosage of Insulin (Basal Dose Insulin Measured in IU/ kg of Body Weight), Changes in basal insulin dose is based on the mean value of 3 consecutive measuring of level of fasting blood glucose.

If value of fasting blood glucose at 7:00 AM on January 21, 2012 - 4.2 mmol/L, at 7:30 AM on January 22, 2012- 5.0 mmol/L, at 7:00 AM on January 23, 2012 4.8 mmol/L, then the mean level of blood glucose =4.7 mmol/L (4.2 +5.0 +4.8 divided by 3). It is not recommended to change the dose.

If the mean value of fasting blood glucose is lower than 4.0 mmol/L and a patient shows unreasonable signs or symptoms of hypoglycemia, then dose of basal insulin should be reduced by 2 units.

If value of fasting blood glucose for 3 consecutive days was ≥7 mmol/L, then dose of basal insulin should be increased by 2 units and more (depending on individual values).

Based on the same values investigator can change dose of per oral blood sugar-lowering drugs., In 36 weeks of the treatment as compared to the baseline|Percentage of Patients With Changed Daily Dose of Per Oral Blood Sugar- Lowering Drugs, In 36 weeks of the treatment|Changes in the Mean Absolute Value of Body Weight (kg), In 36 weeks of the treatment as compared to the baseline|Changes in the Mean Absolute Value of Body Mass Index (BMI) (kg/m^2), baseline and 36 weeks of the treatment|Satisfaction of Diabetes Treatment Based on Diabetes Treatment Satisfaction Questionnaire Data, The Diabetes Treatment Satisfaction Questionnaire allows to assess the degree of satisfaction with treatment for diabetes and its complications - retinopathy and nephropathy, how patients' satisfaction and perceived hyper- and hypoglycemia have changed compared to the initial period (before the treatment).

The Diabetes Treatment Satisfaction Questionnaire contains six items scored on 7-point scales from +3 (equals ""very satisfied"") to -3 (equals ""very dissatisfied""), with 0 (equals ""no change""). These are summed to produce a total Treatment Satisfaction score. Two questions concerning ""Perceived Hyperglycaemia"" and ""Perceived Hypoglycaemia"" respectively, are calculated separately. According to these two items, low scores represent good perceived blood glucose control (+3 means ""most of the time"" of Hyperglycaemia or Hypoglycaemia whereas -3 means ""none of the time"" of Hyperglycaemia or Hypoglycaemia)., In 36 weeks of the treatment",
"Perioperative Insulin, GIK or GLP-1 Treatment in Diabetes Mellitus","Median glucose, The difference in median glucose between the GIK + BR and LG group 1 hour after surgery, 1 hour after surgery","Total Insulin administration, The difference in insulin administration between the GIK + BR and LG group within 24 h after start of surgery, 1 day postoperative|Median glucose, The difference in median glucose between the GIK + BR and LG group 4 hours and 1 day after surgery, 4 hours and 1 day postoperative|Postoperative complications, The difference in proportion of any postoperative complication within the first month, 1 month after surgery|Hypoglycemia, The occurrence of mild and severe hypoglycemia (glucose \<4.0 mmol/l and \<2.3 mmol/l, respectively) during and up to 24 h after surgery, From start treatment until the morning of day 1 postoperative|Hypo- and hyperkalemia, The occurrence of hypokalemia (\<3.5 mmol/l) and hyperkalemia (\>5.0 mmol/l) during and up to 24 h after surgery, from start treatment until morning of day 1 postoperative|Glucose, the difference in median glucose 1hr preoperative, 1, 4 hours postoperative, 1 day postoperative between the three groups., From start treatment until morning of day 1 postoperative",
Effect of Calcium Polycarbophil on Type II Diabetes Mellitus Control: a Randomized Double-blind Study,"Change in Hemoglobin A1c from baseline, Change in hemoglobin A1c will be measured during these time intervals to determine the effects of polycarbophil on diabetes mellitus control., Enrollment, 3 months, 6 months","Weight, Baseline, 3 months, 6 months|Blood Pressure, Baseline, 3 months, 6 months|Number and dosage of medications for DM, HTN, and hyperlipidemia, Baseline, 3 months, 6 months|Serum LDL, HDL, triglycerides, total cholesterol, Baseline, 3 months, 6 months|Adverse outcomes, GI discomfort, constipation, excessive flatulence, fecal impaction, diarrhea, nausea, vomiting, hypoglycemia, other reported side effects., 3 months, 6 months",
Development and Exploration of the Effectiveness and Feasbility of a Digital Intervention for Type 2 Diabetes Mellitus,"Change of HbA1c after 16 weeks intervention, proportion of participants with decrease in Hba1c by 0.6% through digital intervention for lifestyle modifications after 16 weeks., 16 weeks","Change in body mass index (BMI), changes of BMI, 16 weeks|Change in lipid profile, changes of lipid profile, 16 weeks|Resulting score calculated based on IDF-DAR Risk Stratification Scoring Tool, Risk of fasting based on calculated risk score by using IDF-DAR Risk Stratification Scoring tool at baseline for Muslim participant who intend to fast, Baseline|Number of Participants with diabetes complications (hypo-/hyper-glycaemia) amongst Muslims with T2DM during fasting (Ramadan), evaluate the number of Muslim participant experiences with diabetes complications of hypoglycaemia (defined as capillary blood glucose of \< 4mmol/L) and/or hyper-glycaemia (defined as capillary blood glucose of \> 16.6mmo/L)., Fasting period over the 16 weeks intervention period|Change in EQ-5D-5L score, changes of EQ-5D-5L score of each dimensions i.e. Mobility, Self-care, Usual activities, pain/discomfort and anxiety/ depression, and self-rating of health from a scale 0 to 100 (0 means the worst and 100 means the best health) to assess participants' health related quality of life (QOL), 16 weeks",
Effects of Krill Oil on Endothelial Function in Patients With Type 2 Diabetes Mellitus,"Change in Endothelial Function with Krill Oil Supplementation as Compared with Baseline and Placebo, Three Months","Change in Lipid Profile (HDL, LDL, Total Cholesterol), Glucose, Hemoglobin A1C with Krill Oil Supplementation Compared with Baseline and Placebo, Three months","Change C-Peptide and Total Antioxidant Capacity of Serum Compared with Baseline and Placebo, Three Months|Effects of Longer Term Krill Oil Supplementation compared to Baseline on Endothelial function, lipid profile, Hemoglobin A1C, glucose, c-peptide and total antioxidant capacity., 17 weeks"
Investigation of the Effect of E.-Coli-Nissle as Supporting Therapy to Standard Care of Diabetes Mellitus Type II,"Decrease in HbA1c levels, 24 weeks","change in insulin resistance/secretion, 24 weeks|change in lipid parameters, 24 weeks|change in parameters of oxidative stress, 24 weeks|change in gastrointestinal condition, 24 weeks",
Diabetes Mellitus Type II and Tissue Oxygenation,"Diabetes Mellitus Type II and Tissue Oxygenation, 5 years",,
"EPA Supplementation on Vascular Inflammation, and Gene Expression of PON2 in Patients With Type II Diabetes Mellitus","HbA1c, Hemoglobin A1c (HbA1c) measurement by related kits according their protocols, Change from Baseline at 8 weeks after the intervention","PON2 gene expression, measurement of paraoxonase-2(PON-2) gene expression using quantitative Real-time PCR, Baseline, 8 weeks after the intervention|Systolic blood pressure, Systolic blood pressure changes measurement by manometer, Change frome baseline at 8 weeks|Diastolic blood pressure, Diastolic blood pressure changes measurement by manometer, Change frome baseline at 8 weeks|serum paraoxonase-1(PON-1) activity, serum paraoxonase-1(PON-1) activity by kit according related protocol, Baseline, 8 weeks after the intervention|PON1/HDL-c Ratio, calculating the ratio after measurement of PON1 and HDL-c by related kits according their protocols, Baseline, 8 weeks after the intervention|serum paraoxonase lactonase (PON-HCTLase) activity, measurement of paraoxonase lactonase (PON-HCTLase) activity by related kit according its protocol, Baseline, 8 weeks after the intervention|HDL-c, high density lipoprotein- cholesterol (HDL-c) measurement by related kits according their protocols, Baseline, 8 weeks after the intervention|FBS, Fasting blood sugar (FBS) measurement by related kits according their protocols, Baseline, 8 weeks after the intervention|HDL2-c, high density lipoprotein 2- cholesterol (HDL2-c) measurement by related kits according their protocols, Baseline, 8 weeks after the intervention|HDL3-c, high density lipoprotein 3- cholesterol (HDL3-c) measurement by related kits according their protocols, Baseline, 8 weeks after the intervention|Serum apo B, Serum apo-protein B measurement by related kits according their protocols, Baseline, 8 weeks after the intervention|Serum apo A-I, Serum apo-protein A-I measurement by related kits according their protocols, Baseline, 8 weeks after the intervention|apo B/apo A-I Ratio, calculating the ratio after measurement of apo B and apo A-1 by related kits according their protocols, Baseline, 8 weeks after the intervention|Serum methionine, measurement of serum levels of methionine by related kit according its protocol, Baseline, 8 weeks after the intervention|Serum malondialdehyde (MDA), measurement of serum levels of malondialdehyde (MDA)by related kit according its protocol, Baseline, 8 weeks after the intervention|Serum homocysteine (Hcy), measurement of serum levels of homocysteine (Hcy) by related kit according its protocol, Baseline, 8 weeks after the intervention|Serum sE-Selectin, measurement of serum levels of soluble E-Selectin by related kit according its protocol, Baseline, 8 weeks after the intervention|sVCAM-1, measurement of serum levels of soluble Vascular cell adhesion molecule-1 (VCAM-1) by related kit according its protocol, Baseline, 8 weeks after the intervention|Serum cysteine, measurement of serum levels of cysteine by related kit according its protocol, Baseline, 8 weeks after the intervention|Serum Lpa, measurement of serum levels of lipoprotein-a (Lpa)by related kit according its protocol, Baseline, 8 weeks after the intervention",
The Effects of a Regenerative Mitochondrial Medication on Physiological Parameters in Case of Diabetes Mellitus Type II,"HbA1c Test (Glycated hemoglobin), Laboratory test, 4 month average","Blood count, Laboratory test, 4 month average|Electrolytes, Laboratory test, 4 month average|Liver, pancreatic and kidney retention values, Laboratory test, 4 month average|Lipids: Cholesterol,Triglycerides, Laboratory test, 4 month average|Oxyd LDL (low-density lipoprotein cholesterol), Laboratory test, 4 month average|Free lipids fasting, Laboratory test, 4 month average|Lipoprotein A, Laboratory test, 4 month average|Fibrinogen, Laboratory test, 4 month average|CRP (C Reactive protein), Laboratory test, 4 month average|LDH-Isoenzymes (Lactate dehydrogenase), Laboratory test, 4 month average|Homocysteins, Laboratory test, 4 month average|Nutrient IgGs Panels (BiomedicalScreen), Laboratory test, 4 month average|Insulin, Adiponectin, Leptin, Laboratory test, 4 month average|Potassium, selene, magnesium, zinc in whole blood, Laboratory test, 4 month average|SHbG, full-testosterone (Androgen-Index), Laboratory test, 4 month average|PlasminInhibitor I, Laboratory test, 4 month average|Vitamins B1,B2,B6,B 12, Vitamin D, Laboratory test, 4 month average",
Evaluate the Side Effects and Benefits of RAS 130 With or Without Diet and Exercise in Type II Diabetes Mellitus,"To determine cardiovascular side effects such as coronary artery disease (CAD) and congestive heart failure (CHF) in patients treated with RAS 130 along with diet and exercise., 6 months","To determine the effect of RAS 130 on reduction of blood glucose level with or without diet and exercise, 6 months",
Retrospective Study of Patients With Type 2 Diabetes Mellitus on Dapagliflozin Therapy in Taiwan,"Change in HbA1c, To assess the change from baseline (time to initiate dapagliflozin\*) in HbA1c at 6 months, 6 months",,
Real World Assessment of Clinical Outcome Changes -Including Month of Ramadan-for Dapagliflozin in Management of Type II Diabetes Mellitus,"The mean change in HbAlc from mean baseline and at Month 12., Primary Variable: To describe the change in HbAlc from baseline as a parameter for blood glucose controL, 12 Months","Changes from baseline in Total body weight, The mean changes from mean baselines and at Month12 in Total body weight., 12 Months|Changes from baseline in Total cholesterol, The mean changes from mean baselines and at Month12 in Total cholesterol., 12 Months|Changes from baseline in Systolic Blood Pressures, The mean changes from mean baselines and at Month12 in Systolic Blood Pressures, 12 Months|Changes from baseline in LDL-C, The mean changes from mean baselines and at Month12 in LDL-C, 12 Months|Changes from baseline in non-HDL-C, The mean changes from mean baselines and at Month12 in non-HDL-C, 12 Months|Changes from baseline in triglycerides., The mean changes from mean baselines and at Month12 in triglycerides, 12 Months|Changes from baseline in Diastolic Blood Pressures, The mean changes from mean baselines and at Month12 in Diastolic Blood Pressures., 12 Months","The frequency & incidence of Hypoglycemic episodes, The frequency \& incidence of the following reported adverse events during the 12 Months period of the study: Hypoglycemic episodes., 12 Months|The frequency & incidence of Volume Depletion., The frequency \& incidence of the following reported adverse events during the 12 Months period of the study: Volume Depletion., 12 Months|The frequency & incidence of Genital infections, The frequency \& incidence of the following reported adverse events during the 12 Months period of the study: Genital infections, 12 Months|Capture influence of the combined effect of fasting and hot climate on the level of total ketone bodies levels in T2DM subjects treated with Dapagliflozin, Quantitative estimation of capillary ketone bodies will be carried out within 3-months prior Ramadan in selected centers where this is a routine clinic practice. In patients where quantitative estimation of capillary ketone bodies was measured prior to Ramadan, another measurement will be carried out during Ramadan if the date of patient routine follow-up visit coincided with the month of Ramadan. In case visit coincides with only a couple of days of fasting, measurements would be taken into the middle and/or the end of Ramadan. In case someone is recruited during Ramadan, baseline recorded measurements must be prior to Ramadan, 12 Months"
"Study to Assess the Absorption, Distribution, Metabolism and Excretion of AZD1656 in Type 2 Diabetes Mellitus (T2DM)","Total recovery of radioactive dose, rate and routes of excretion of total radioactivity, metabolic pattern and metabolic profile, and PK variables of AZD1656 (AUC, Cmax, tmax, t1/2, Total Ae, CL/F and CLR), One blood sample for analysis of plasma concentrations of AZD1656 taken on several days during the treatment period. A full PK profile for AZD1656 will also be taken on the last day of treatment","Safety variables: Adverse Events (AEs), Blood pressure (BP), pulse, ECG and safety laboratory variables, glucose quick test, Frequent measurements during the study period|Plasma Glucose, Plasma Glucose will be measured twice daily during residential period",
Predictors of Future Type 2 Diabetes Mellitus in Circassians Minority in Israel,"New incidences of Type II Diabetes Mellitus in Circassians minority in Israel, 14 years",,
Clinical Trial for PB-119 in Subjects With Type 2 Diabetes Mellitus,"Incidence of treatment-emergent AE (safety and tolerability), N of participants with abnormal lab values and AE relevant to the treatment, the change form base line lab values at 3 months","PB-119 blood concentration, N of PB-119 blood concentration, hour0, hour12, hour24, hour48, hour72, hour96, hour120, hour144, hour168, hour336, hour504, hour672, hour1344, hour1848, hour1872, hour1896, hour1920, hour2016, hour2112, hour2184 and hour2580",
"Therapeutic Efficacy of ""Abroma Agusta"" in HbA1c % in NIDDM",,,
A Study to Evaluate the Effect of a Digital Disease Management Tool in Patients With Type 2 Diabetes Mellitus,"Mean Change from baseline to Month 6 in HbA1c, The primary outcome measure is the mean change from baseline to Month 6 in HbA1c. Mean changes from baseline to intermediate visits (if any occur) will also be determined.

Mean change from baseline to intermediate visits are optional and only occur if it is a part of standard of care., From Baseline to 6 months","Proportion of participants who achieve HbA1c levels <7% at Month 6, Proportion of participants who achieve HbA1c levels \<7% at Month 6, Month 6 of study participation|Mean change in Body weight (kg) from baseline to Month 6, Mean change in Body weight (kg) from baseline to Month 6.

Mean change from baseline to intermediate visits are optional and only occur if it is a part of standard of care., From Baseline to 6 months|Proportion of patients in both cohorts who intensify antihyperglycaemic treatment from Visit 1, Proportion of participants in both cohorts who intensify antihyperglycaemic treatment from Visit 1, defined as an increase in dose or addition of a new antihyperglycaemic agent not received at baseline.

Mean change from baseline to intermediate visits are optional and only occur if it is a part of standard of care., From Baseline to 6 months","Number of times smart phone- and/or web portal-based tool accessed per patient, Number of times smart phone- and/or web portal-based tool accessed per patient.

Mean change from baseline to intermediate visits are optional and only occur if it is a part of standard of care., From Baseline to 6 months|Mean percent change from baseline to Month 6 in SBP, Mean percent change from baseline to Month 6 in SBP.

Mean change from baseline to intermediate visits are optional and only occur if it is a part of standard of care., From Baseline to 6 months|Proportion of patients who achieve BP <140/90 mmHg at Month 6, Proportion of patients who achieve BP \<140/90 mmHg at Month 6.

Mean change from baseline to intermediate visits are optional and only occur if it is a part of standard of care., From Baseline to 6 months|Mean percent change from baseline to Month 6 in LDL-C, Mean percent change from baseline to Month 6 in LDL-C.

Mean change from baseline to intermediate visits are optional and only occur if it is a part of standard of care., From Baseline to 6 months|Proportion of patients who achieve LDL-C <100 mg/dL at Month 6, Proportion of patients who achieve LDL-C \<100 mg/dL at Month 6.

Mean change from baseline to intermediate visits are optional and only occur if it is a part of standard of care., From Baseline to 6 months|Length of time from first to last usage of smart phone- and/or web portal-based tool, Length of time from first to last usage of smart phone- and/or web portal-based tool.

Mean change from baseline to intermediate visits are optional and only occur if it is a part of standard of care., From Baseline to 6 months|Mean difference in primary care office visits between active and control group during the 6-month study period as reported in patient records (to examine potential differences in resource utilization), Mean difference in primary care office visits between active and control group during the 6-month study period as reported in patient records (to examine potential differences in resource utilization).

Mean change from baseline to intermediate visits are optional and only occur if it is a part of standard of care., From Baseline to 6 months|Mean difference in Emergency Room visits between active and control groupduring the 6-month study period as reported by patients at the end of the study (to examine potential differences in resource utilization), Mean difference in Emergency Room visits between active and control group during the 6-month study period as reported by patients at the end of the study (to examine potential differences in resource utilization).

Mean change from baseline to intermediate visits are optional and only occur if it is a part of standard of care., From Baseline to 6 months|Change from baseline to Month 6 in Diabetes Treatment Satisfaction Questionnaire - Status version (DTSQs) score (8-question) (treatment satisfaction), Change from baseline to Month 6 in Diabetes Treatment Satisfaction Questionnaire - Status version (DTSQs) score (8-question) (treatment satisfaction).

The Patient-reported outcomes (PROs) include DTSQs. The DTSQs (8-item scale) is a widely used instrument in diabetes in both clinical trials and routine clinical practice, to measure of treatment satisfaction., From Baseline to 6 months|Change from baseline to Month 6 in Diabetes Self-Management Questionnaire (DSMQ) score (16-question) (patient perception on ability to manage their disease), Change from baseline to Month 6 in Diabetes Self-Management Questionnaire (DSMQ) score (16-question) (patient perception on ability to manage their disease).

The PROs include the DSMQ. The DSMQ is a 16-item questionnaire to assess self-care activities associated with glycaemic control in patients with diabetes.

Mean change from baseline to intermediate visits are optional and only occur if it is a part of standard of care., From Baseline to 6 months|Change from baseline to Month 6 in Morisky 8-item scale (adherence), Change from baseline to Month 6 in Morisky 8-item scale (adherence).

The PROs include the Morisky Scale. The Morisky Scale is an 8-item medication adherence questionnaire.

Mean change from baseline to intermediate visits are optional and only occur if it is a part of standard of care., From Baseline to 6 months"
