,entity_group,value,score,from,nct_id
131,Detailed_description,QLQ-C30,0.8715457320213318,secondary,NCT01164150
132,Detailed_description,Cervical Cancer,0.7100477814674377,secondary,NCT01164150
133,Detailed_description,Module EORTC QLQ-C30 EORTC Cervical Cancer CX,0.8558030128479004,secondary,NCT01164150
134,Date,2015,0.9898290038108826,secondary,NCT01164150
135,Lab_value,2015,0.7570445537567139,secondary,NCT01164150
136,Diagnostic_procedure,survival rate,0.9979088306427002,secondary,NCT01164150
137,Lab_value,2015,0.8027705550193787,secondary,NCT01164150
138,Duration,One year year year,0.8833725452423096,primary,NCT03959150
139,Sign_symptom,metastasis,0.9999252557754517,primary,NCT03959150
140,Outcome,death,0.951969563961029,primary,NCT03959150
141,Date,1 1 year year year after,0.9985383152961731,primary,NCT03959150
142,Date,1 1 year year year,0.9994690418243408,primary,NCT03959150
143,Diagnostic_procedure,Survival,0.49177786707878113,secondary,NCT03959150
144,Coreference,surgery,0.7274836301803589,secondary,NCT03959150
145,Outcome,death,0.566125750541687,secondary,NCT03959150
146,Date,5 year,0.9965485334396362,secondary,NCT03959150
147,Coreference,tumor,0.4974231719970703,secondary,NCT03959150
148,Date,1 year,0.9991514682769775,secondary,NCT03959150
149,Disease_disorder,AEs AE,0.9998664855957031,secondary,NCT03959150
150,Disease_disorder,Hand Hand and and foot syndrome,0.9433432817459106,secondary,NCT03959150
151,Detailed_description,treatment,0.7459197044372559,secondary,NCT03959150
152,Date,5 year,0.8975220918655396,secondary,NCT03959150
153,Detailed_description,metronome,0.8068528771400452,secondary,NCT03959150
154,Medication,chemotherapy,0.9998118281364441,secondary,NCT03959150
155,Diagnostic_procedure,TAMs,0.8192246556282043,secondary,NCT03959150
156,Dosage,1,0.9550797939300537,secondary,NCT03959150
157,Detailed_description,yaer,0.41471606492996216,secondary,NCT03959150
158,Diagnostic_procedure,health-related,0.9779531359672546,primary,NCT00372450
159,Diagnostic_procedure,quality of life,0.9988648891448975,primary,NCT00372450
160,Detailed_description,baseline,0.7760855555534363,primary,NCT00372450
161,Duration,30 days,0.9856470227241516,primary,NCT00372450
162,Date,30 3,0.9937407374382019,primary,NCT00372450
163,Duration,months,0.5770455598831177,primary,NCT00372450
164,Detailed_description,self-expanding self-expanding,0.9267207980155945,primary,NCT00372450
165,Therapeutic_procedure,plastic stent stent,0.9965429306030273,primary,NCT00372450
166,Therapeutic_procedure,metal stent stent placement,0.999564528465271,primary,NCT00372450
167,Diagnostic_procedure,Cost,0.5210426449775696,secondary,NCT00372450
168,Therapeutic_procedure,stent,0.8107377886772156,secondary,NCT00372450
169,Sign_symptom,and duration dysphagia,0.9999606609344482,secondary,NCT00372450
170,Sign_symptom,dysphagia,0.9999233484268188,secondary,NCT00372450
171,Disease_disorder,Stent-related,0.8057205677032471,secondary,NCT00372450
172,Detailed_description,Stent-related,0.636135995388031,secondary,NCT00372450
173,Sign_symptom,morbidities,0.7245227694511414,secondary,NCT00372450
174,Detailed_description,Time,0.5763621926307678,secondary,NCT00372450
175,Diagnostic_procedure,rate of mortality,0.9997895359992981,secondary,NCT00372450
176,Detailed_description,Progression,0.999930739402771,primary,NCT01088815
177,Detailed_description,Free Survival,0.725215494632721,primary,NCT01088815
178,Medication,GDC-0449,0.9890502095222473,primary,NCT01088815
179,Medication,Gemcitabine,0.999906063079834,primary,NCT01088815
180,Medication,Nab-paclitaxel.,0.9998644590377808,primary,NCT01088815
181,Duration,Number of of months,0.9849333763122559,primary,NCT01088815
182,Medication,therapy,0.9604417681694031,primary,NCT01088815
183,Duration,6 years,0.9990416169166565,primary,NCT01088815
184,Therapeutic_procedure,Combination Therapy,0.9935970306396484,primary,NCT01088815
185,Detailed_description,Metastatic,0.999935507774353,primary,NCT01088815
186,Disease_disorder,Adenocarcinoma,0.9253238439559937,primary,NCT01088815
187,Biological_structure,Pancreas,0.9998696446418762,primary,NCT01088815
188,Lab_value,Grade 3 3,0.8970807790756226,primary,NCT01088815
189,Lab_value,grade 3 3,0.9958863258361816,primary,NCT01088815
190,Lab_value,4 4 v4.0,0.8722473978996277,primary,NCT01088815
191,Sign_symptom,adverse events,0.9777541160583496,primary,NCT01088815
192,Diagnostic_procedure,Institute,0.5631135702133179,primary,NCT01088815
193,Detailed_description,Common,0.7172361612319946,primary,NCT01088815
194,Sign_symptom,Adverse Adverse Events Events,0.9991040229797363,primary,NCT01088815
195,Duration,after,0.8891979455947876,primary,NCT01088815
196,Duration,"Cycle 2 , , , Day 1 , , , 6 years",0.8756682276725769,primary,NCT01088815
197,Medication,GDC-0449,0.9105653762817383,secondary,NCT01088815
198,Medication,Gemcitabine,0.9999105930328369,secondary,NCT01088815
199,Medication,Nab-Paclitaxel,0.8792363405227661,secondary,NCT01088815
200,Duration,months,0.7715509533882141,secondary,NCT01088815
201,Duration,6 years,0.9993661642074585,secondary,NCT01088815
202,Medication,GDC-0449,0.9132186770439148,secondary,NCT01088815
203,Medication,Gemcitabine,0.9999110698699951,secondary,NCT01088815
204,Medication,Nab-Paclitaxel,0.9998414516448975,secondary,NCT01088815
205,Duration,6 years,0.8064665794372559,secondary,NCT01088815
206,Medication,GDC-0449,0.9685462117195129,secondary,NCT01088815
207,Medication,Gemcitabine,0.9999032020568848,secondary,NCT01088815
208,Medication,Nab-Paclitaxel,0.9998095631599426,secondary,NCT01088815
209,Lab_value,Changes Change,0.5165579319000244,secondary,NCT01088815
210,Detailed_description,tissue tissue,0.9268810153007507,secondary,NCT01088815
211,Biological_structure,peripheral peripheral blood blood.,0.8862629532814026,secondary,NCT01088815
212,Diagnostic_procedure,biopsy,0.7695374488830566,secondary,NCT01088815
213,Biological_structure,peripheral peripheral,0.6425904631614685,secondary,NCT01088815
214,Duration,6 years,0.9995111227035522,secondary,NCT01088815
215,Medication,GDC-0449,0.6582306027412415,secondary,NCT01088815
216,Medication,Gemcitabine,0.9998979568481445,secondary,NCT01088815
217,Medication,Nab-Paclitaxel,0.999755322933197,secondary,NCT01088815
218,Diagnostic_procedure,Hedgehog Hedgehog,0.9566816091537476,secondary,NCT01088815
219,Diagnostic_procedure,signaling pathway,0.7933944463729858,secondary,NCT01088815
220,Diagnostic_procedure,Gli-1,0.9981297254562378,secondary,NCT01088815
221,Date,6 years,0.8977009654045105,secondary,NCT01088815
222,Sign_symptom,genetic genetic mutations mutations,0.8236347436904907,primary,NCT05513716
223,Disease_disorder,colorectal cancer,0.9993811249732971,primary,NCT05513716
224,Biological_structure,peritoneal,0.9912007451057434,primary,NCT05513716
225,Sign_symptom,metastases,0.9879201650619507,primary,NCT05513716
226,Diagnostic_procedure,concordance,0.8258745670318604,primary,NCT05513716
227,Lab_value,concordance discordance,0.45456215739250183,primary,NCT05513716
228,Duration,24 months,0.9993497133255005,primary,NCT05513716
229,Diagnostic_procedure,genetic genetic,0.9873135685920715,secondary,NCT05513716
230,Sign_symptom,mutations mutations mutations,0.761033296585083,secondary,NCT05513716
231,Detailed_description,primary,0.9991586208343506,secondary,NCT05513716
232,Sign_symptom,colorectal colorectal,0.4452945291996002,secondary,NCT05513716
233,Coreference,tumours,0.6926819086074829,secondary,NCT05513716
234,Sign_symptom,differences mutations descriptive mutations tumours mutations metastases,0.5026943683624268,secondary,NCT05513716
235,Disease_disorder,colorectal colorectal cancer,0.9383139610290527,secondary,NCT05513716
236,Biological_structure,peritoneal,0.8092473149299622,secondary,NCT05513716
237,Duration,24,0.7901478409767151,secondary,NCT05513716
238,Date,months,0.983690083026886,secondary,NCT05513716
239,Diagnostic_procedure,genetic tests,0.996547281742096,secondary,NCT05513716
240,Disease_disorder,genetic,0.8250734806060791,secondary,NCT05513716
241,Sign_symptom,mutations,0.6241560578346252,secondary,NCT05513716
242,Duration,24 months,0.8150602579116821,secondary,NCT05513716
243,Sign_symptom,molecular molecular subtypes subtypes,0.8254454135894775,secondary,NCT05513716
244,Sign_symptom,subtypes subtypes,0.38783299922943115,secondary,NCT05513716
245,Diagnostic_procedure,Fisher,0.4958835542201996,secondary,NCT05513716
246,Detailed_description,exact,0.6017225980758667,secondary,NCT05513716
247,Sign_symptom,Associations with continuous,0.5581877827644348,secondary,NCT05513716
248,Detailed_description,variables,0.6138970255851746,secondary,NCT05513716
249,Diagnostic_procedure,Kruskal-Wallis,0.9998980760574341,secondary,NCT05513716
250,Diagnostic_procedure,Kruskal-Wallis tests,0.9591728448867798,secondary,NCT05513716
251,Detailed_description,Kaplan-Meier,0.9911212921142578,secondary,NCT05513716
252,Detailed_description,Univariate,0.8875647783279419,secondary,NCT05513716
253,Detailed_description,multivariate,0.996957540512085,secondary,NCT05513716
254,Detailed_description,cox,0.98715740442276,secondary,NCT05513716
255,Diagnostic_procedure,proportional hazard regression,0.9680400490760803,secondary,NCT05513716
256,Coreference,tumour,0.9387308955192566,secondary,NCT05513716
257,Lab_value,p-value,0.9924828410148621,secondary,NCT05513716
258,Lab_value,<,0.9950714111328125,secondary,NCT05513716
259,Lab_value,0.05,0.9702973365783691,secondary,NCT05513716
260,Date,24 months,0.9997836351394653,secondary,NCT05513716
261,Lab_value,complete complete response response,0.8157445192337036,primary,NCT01269216
262,Detailed_description,response response resectable,0.999955415725708,primary,NCT01269216
263,Detailed_description,resectable,0.9300779104232788,primary,NCT01269216
264,Biological_structure,rectal,0.9989966154098511,primary,NCT01269216
265,Disease_disorder,cancer,0.8369790315628052,primary,NCT01269216
266,Detailed_description,neoadjuvant,0.9999815225601196,primary,NCT01269216
267,Detailed_description,neoadjuvant adjuvant,0.9963739514350891,primary,NCT01269216
268,Therapeutic_procedure,chemoradiotherapy,0.9987022280693054,primary,NCT01269216
269,Medication,5-FU/leucovorin,0.7631900906562805,primary,NCT01269216
270,Dosage,5-FU/leucovorin TS-1/Irinotecan TS-1/irinotecan,0.5223636031150818,primary,NCT01269216
271,Medication,complete complete resectable 5-FU/leucovorin,0.9998010993003845,primary,NCT01269216
272,Medication,TS-1/Irinotecan TS-1/irinotecan,0.5693103671073914,primary,NCT01269216
273,Medication,TS-1/Irinotecan,0.7413672208786011,primary,NCT01269216
274,Detailed_description,surgery,0.8555089831352234,primary,NCT01269216
275,Detailed_description,fluoropyrimidine,0.9998123049736023,primary,NCT01269216
276,Detailed_description,neoadjuvant chemoradiotherapy adjuvant,0.9998685121536255,primary,NCT01269216
277,Frequency,every every 4 weeks weeks,0.9972869753837585,primary,NCT01269216
278,Detailed_description,FL FL,0.5393705368041992,primary,NCT01269216
279,Frequency,every every 2 weeks weeks,0.9936572909355164,primary,NCT01269216
280,Detailed_description,TS-1/Irinotecan TS-1/irinotecan,0.7850669026374817,primary,NCT01269216
281,Medication,TS-1/irinotecan,0.9987488985061646,primary,NCT01269216
282,Medication,cancer neoadjuvant TS-1/Irinotecan and adjuvant TS-1/irinotecan,0.6673881411552429,primary,NCT01269216
283,Detailed_description,group group,0.9453898668289185,primary,NCT01269216
284,Detailed_description,logrank,0.8532626032829285,primary,NCT00002968
285,Duration,up,0.9098467826843262,primary,NCT00002968
286,Duration,5 years,0.9985776543617249,primary,NCT00002968
287,Biological_structure,colon cancer,0.7388107776641846,secondary,NCT00002968
288,Sign_symptom,recurrence recurrence,0.9967071413993835,secondary,NCT00002968
289,Outcome,deaths,0.5401913523674011,secondary,NCT00002968
290,Duration,up to to 5 years,0.9747487306594849,secondary,NCT00002968
291,Detailed_description,logrank,0.4906306862831116,secondary,NCT00002968
292,Biological_structure,colon,0.9998743534088135,secondary,NCT00002968
293,Sign_symptom,recurrence,0.9838430881500244,secondary,NCT00002968
294,Outcome,death,0.9920571446418762,secondary,NCT00002968
295,Duration,up to to 5 years,0.9966839551925659,secondary,NCT00002968
296,Sign_symptom,Adverse,0.9459731578826904,primary,NCT04819516
297,Date,3,0.6048606634140015,primary,NCT04819516
298,Duration,months,0.6254025101661682,primary,NCT04819516
299,Detailed_description,baseline,0.9767111539840698,primary,NCT04819516
300,Sign_symptom,Adverse,0.9528093934059143,primary,NCT04819516
301,Duration,6 months,0.9486791491508484,primary,NCT04819516
302,Detailed_description,baseline,0.9910832643508911,primary,NCT04819516
303,Sign_symptom,Adverse,0.9267393350601196,primary,NCT04819516
304,Duration,9 months,0.9652006030082703,primary,NCT04819516
305,Detailed_description,baseline,0.996256947517395,primary,NCT04819516
306,Sign_symptom,Adverse,0.9805660247802734,primary,NCT04819516
307,Duration,12 months,0.7124147415161133,primary,NCT04819516
308,Detailed_description,baseline,0.99333655834198,primary,NCT04819516
309,Lab_value,Abnormal,0.999500036239624,primary,NCT04819516
310,Diagnostic_procedure,Laboratory,0.999277651309967,primary,NCT04819516
311,Date,3 months,0.9543678760528564,primary,NCT04819516
312,Lab_value,Abnormal,0.9995601773262024,primary,NCT04819516
313,Diagnostic_procedure,Laboratory,0.9992756247520447,primary,NCT04819516
314,Lab_value,6,0.6561028361320496,primary,NCT04819516
315,Date,months,0.46511197090148926,primary,NCT04819516
316,Lab_value,Abnormal,0.9994896650314331,primary,NCT04819516
317,Diagnostic_procedure,Laboratory,0.9995701909065247,primary,NCT04819516
318,Lab_value,9 months,0.8185032606124878,primary,NCT04819516
319,Detailed_description,baseline,0.37908920645713806,primary,NCT04819516
320,Lab_value,Abnormal,0.999567449092865,primary,NCT04819516
321,Diagnostic_procedure,Laboratory,0.9994983673095703,primary,NCT04819516
322,Date,12 months,0.919367790222168,primary,NCT04819516
323,Detailed_description,Abnormal,0.9999226331710815,secondary,NCT04819516
324,Sign_symptom,Tumor,0.8970263004302979,secondary,NCT04819516
325,Date,12 months,0.8839641809463501,secondary,NCT04819516
326,Detailed_description,baseline,0.5092753767967224,secondary,NCT04819516
327,Detailed_description,Abnormal,0.9999129772186279,secondary,NCT04819516
328,Sign_symptom,Tumor,0.9154745936393738,secondary,NCT04819516
329,Date,3 months,0.956497311592102,secondary,NCT04819516
330,Detailed_description,Abnormal,0.9999213218688965,secondary,NCT04819516
331,Sign_symptom,Tumor,0.9270622730255127,secondary,NCT04819516
332,Duration,6 months,0.6915884017944336,secondary,NCT04819516
333,Detailed_description,Abnormal,0.9999452829360962,secondary,NCT04819516
334,Sign_symptom,Tumor,0.9585962891578674,secondary,NCT04819516
335,Duration,9 months,0.6102429032325745,secondary,NCT04819516
336,Detailed_description,baseline,0.44846415519714355,secondary,NCT04819516
337,Duration,60 months,0.9992976784706116,secondary,NCT04819516
338,Detailed_description,Progression,0.9994237422943115,secondary,NCT04819516
339,Duration,60 months,0.9990032911300659,secondary,NCT04819516
340,Diagnostic_procedure,Quality Quality,0.9985983967781067,secondary,NCT04819516
341,Diagnostic_procedure,life,0.9928713440895081,secondary,NCT04819516
342,Diagnostic_procedure,Organization,0.48559388518333435,secondary,NCT04819516
343,Diagnostic_procedure,Research,0.9290500283241272,secondary,NCT04819516
344,Diagnostic_procedure,Treatment of of of,0.7555501461029053,secondary,NCT04819516
345,Disease_disorder,Cancer,0.9458522796630859,secondary,NCT04819516
346,Disease_disorder,European EORTC,0.6861221790313721,secondary,NCT04819516
347,Disease_disorder,EORTC,0.6020649075508118,secondary,NCT04819516
348,Diagnostic_procedure,Life,0.8060361742973328,secondary,NCT04819516
349,Date,12 months,0.9995958805084229,secondary,NCT04819516
350,Detailed_description,baseline,0.8999717831611633,secondary,NCT04819516
351,Diagnostic_procedure,Numeric Numerical,0.7656772136688232,secondary,NCT04819516
352,Diagnostic_procedure,Numerical Rating Scale,0.9307190775871277,secondary,NCT04819516
353,Sign_symptom,pain pain pain,0.9764330983161926,secondary,NCT04819516
354,Detailed_description,unbearable,0.9994115829467773,secondary,NCT04819516
355,Detailed_description,physical,0.9860007166862488,secondary,NCT04819516
356,Date,12,0.534410834312439,secondary,NCT04819516
357,Duration,months,0.8098001480102539,secondary,NCT04819516
358,Detailed_description,from baseline,0.992539644241333,secondary,NCT04819516
359,Lab_value,Positive,0.9998588562011719,primary,NCT01104116
360,Lab_value,Negative,0.9911477565765381,primary,NCT01104116
361,Diagnostic_procedure,PET PET,0.9999338388442993,primary,NCT01104116
362,Disease_disorder,IPMN IPMN,0.9997449517250061,primary,NCT01104116
363,Detailed_description,-FDG,0.4898037314414978,primary,NCT01104116
364,Detailed_description,malignant,0.9733033776283264,primary,NCT01104116
365,Disease_disorder,Malignant IPMN IPMN,0.9968578815460205,primary,NCT01104116
366,Sign_symptom,lesions,0.998961329460144,primary,NCT01104116
367,Detailed_description,mean,0.7190663814544678,primary,NCT01104116
368,Disease_disorder,IPMN,0.9984605312347412,primary,NCT01104116
369,Lab_value,benign,0.7110325694084167,primary,NCT01104116
370,Lab_value,malignant,0.5630040168762207,primary,NCT01104116
371,Detailed_description,invasive,0.9104816317558289,primary,NCT01104116
372,Diagnostic_procedure,PET,0.9999675750732422,primary,NCT01104116
373,Diagnostic_procedure,imaging,0.6056351065635681,primary,NCT01104116
374,Lab_value,negative,0.5276582837104797,primary,NCT01104116
375,Detailed_description,focal,0.9898566007614136,primary,NCT01104116
376,Diagnostic_procedure,FDG,0.6531167030334473,primary,NCT01104116
377,Biological_structure,pancreatic,0.9999319314956665,primary,NCT01104116
378,Sign_symptom,lesions lesion.,0.5449598431587219,primary,NCT01104116
379,Duration,1,0.7553168535232544,primary,NCT01104116
380,Date,month,0.6300269365310669,primary,NCT01104116
381,Sign_symptom,Lesion,0.9998385906219482,secondary,NCT01104116
382,Diagnostic_procedure,PET PET,0.9980173110961914,secondary,NCT01104116
383,Diagnostic_procedure,EUS,0.9865952730178833,secondary,NCT01104116
384,Biological_structure,IPMN,0.9872940182685852,secondary,NCT01104116
385,Disease_disorder,IPMN,0.692014753818512,secondary,NCT01104116
386,Sign_symptom,lesion,0.9996985197067261,secondary,NCT01104116
387,Sign_symptom,location lesion,0.9996315240859985,secondary,NCT01104116
388,Diagnostic_procedure,PET,0.9993610978126526,secondary,NCT01104116
389,Date,1 month,0.9994854927062988,secondary,NCT01104116
390,Sign_symptom,toxicity toxicity,0.9431944489479065,primary,NCT00844168
391,Disease_disorder,DLT,0.44679683446884155,primary,NCT00844168
392,Sign_symptom,Events,0.3435900807380676,primary,NCT00844168
393,Lab_value,\ > = 3 3,0.9203646779060364,primary,NCT00844168
394,Detailed_description,nonhematologic/hematologic,0.5952582359313965,primary,NCT00844168
395,Duration,28 days,0.9004054069519043,primary,NCT00844168
396,Clinical_event,follow-up.,0.701958954334259,primary,NCT03475615
397,Date,10 months,0.9967700242996216,primary,NCT03475615
398,Lab_value,Grade 3/4 3/4,0.9991547465324402,primary,NCT00748215
399,Sign_symptom,Diarrhea,0.9888684749603271,primary,NCT00748215
400,Lab_value,One,0.5303780436515808,primary,NCT00748215
401,Medication,CASAD CASAD,0.8642326593399048,primary,NCT00748215
402,Medication,placebo,0.9525001049041748,primary,NCT00748215
